,City,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed (mph)
0,puerto ayora,25.56,-0.7393,-90.3518,91,53,2.5
1,gannan,-5.45,47.9147,123.5031,90,15,2.8
2,saskylakh,-31.79,71.9167,114.0833,82,0,3.98
3,ushuaia,17.0,-54.8,-68.3,72,0,2.06
4,cidreira,23.68,-30.1811,-50.2056,80,94,7.99
5,mildura,34.2,-34.2,142.15,15,0,3.09
6,ati,19.5,13.2154,18.3353,23,28,6.12
7,narsaq,1.0,60.9167,-46.05,27,9,13.89
8,bintulu,28.94,3.1667,113.0333,84,40,1.03
9,ilhabela,22.92,-23.7781,-45.3581,80,27,2.01
10,lienz,-3.33,46.8289,12.769,93,100,1.97
11,thompson,-35.0,55.7435,-97.8558,68,1,2.57
12,hobart,21.36,-42.8794,147.3294,42,20,4.63
13,vilhena,20.8,-12.7406,-60.1458,95,100,1.03
14,georgetown,29.18,5.4112,100.3354,74,20,2.57
15,barrow,-30.0,71.2906,-156.7887,69,1,7.72
16,vestmannaeyjar,4.29,63.4427,-20.2734,72,100,6.87
17,punta arenas,16.83,-53.15,-70.9167,63,0,1.03
18,mbandaka,21.8,0.0487,18.2603,61,69,1.69
19,atuona,26.33,-9.8,-139.0333,77,33,8.13
20,pisco,21.62,-13.7,-76.2167,78,0,3.6
21,ahipara,18.95,-35.1667,173.1667,92,100,3.83
22,ormara,21.83,25.2088,64.6357,38,68,8.45
23,wasilla,-14.54,61.5814,-149.4394,78,90,2.06
24,mar del plata,18.4,-38.0023,-57.5575,88,75,5.66
25,tuatapere,10.99,-46.1333,167.6833,91,100,6.15
26,asau,4.41,46.4333,26.4,100,91,2.06
27,bengkulu,28.78,-3.8004,102.2655,65,97,2.24
28,busselton,18.48,-33.65,115.3333,58,0,4.02
29,norman wells,-38.0,65.282,-126.8329,67,20,1.54
30,masallatah,15.2,32.6167,14.0,36,0,2.46
31,malumfashi,18.53,11.7853,7.6218,25,91,3.87
32,paamiut,-2.97,61.994,-49.6678,83,93,4.65
33,aranos,22.11,-24.1333,19.1167,65,61,4.52
34,arraial do cabo,22.98,-22.9661,-42.0278,86,0,2.5
35,dikson,-33.61,73.5069,80.5464,87,98,4.14
36,ulaanbaatar,-12.0,47.9077,106.8832,67,40,1.0
37,paola,7.47,39.3599,16.0396,93,90,6.17
38,mosquera,15.0,4.7059,-74.2302,88,75,3.09
39,calama,16.0,-22.4667,-68.9333,51,0,9.26
40,cape town,19.53,-33.9258,18.4232,82,0,5.66
41,sarakhs,10.0,36.5449,61.1577,53,0,3.27
42,hofn,-0.82,64.2539,-15.2082,98,100,4.25
43,rikitea,26.15,-23.1203,-134.9692,70,41,2.9
44,upernavik,-12.48,72.7868,-56.1549,75,0,1.08
45,abu kamal,14.12,34.4506,40.9171,41,56,3.51
46,ossora,-0.21,59.2353,163.0719,98,100,15.07
47,bredasdorp,13.0,-34.5322,20.0403,88,71,1.03
48,stromness,-1.0,58.965,-3.296,59,75,5.14
49,ketchikan,-8.6,55.3422,-131.6461,53,20,3.09
50,khuzhir,-7.1,53.1939,107.3397,93,100,2.12
51,beisfjord,-17.0,68.3751,17.5988,85,90,0.99
52,vaini,26.0,-21.2,-175.2,89,75,10.8
53,yeppoon,30.0,-23.1333,150.7333,42,40,2.57
54,nikolskoye,-19.24,59.7035,30.7861,77,27,1.0
55,kapaa,21.18,22.0752,-159.319,49,75,6.69
56,clyde river,-18.0,70.4692,-68.5914,85,20,3.6
57,poronaysk,-9.79,49.2167,143.1167,86,0,3.09
58,saint george,13.11,37.1041,-113.5841,24,20,1.19
59,jaisalmer,18.28,26.9147,70.9181,25,0,2.88
60,avarua,29.0,-21.2078,-159.775,70,40,4.63
61,kalmunai,24.7,7.4167,81.8167,75,58,4.56
62,bethel,-5.74,41.3712,-73.414,92,34,1.94
63,pangai,27.0,-19.8,-174.35,89,90,5.14
